Date,SnP_Close,SnP_Volume
"Nov 17, 2020","3,609.53","4,812,180,000"
"Nov 16, 2020","3,626.91","5,295,510,000"
"Nov 13, 2020","3,585.15","4,719,580,000"
"Nov 12, 2020","3,537.01","4,909,660,000"
"Nov 11, 2020","3,572.66","4,635,560,000"
"Nov 10, 2020","3,545.53","6,037,470,000"
"Nov 09, 2020","3,550.50","8,570,510,000"
"Nov 06, 2020","3,509.44","4,842,460,000"
"Nov 05, 2020","3,510.45","4,858,150,000"
"Nov 04, 2020","3,443.44","4,790,400,000"
"Nov 03, 2020","3,369.16","4,241,380,000"
"Nov 02, 2020","3,310.24","4,314,690,000"
"Oct 30, 2020","3,269.96","4,843,930,000"
"Oct 29, 2020","3,310.11","4,911,860,000"
"Oct 28, 2020","3,271.03","5,139,970,000"
"Oct 27, 2020","3,390.68","3,962,400,000"
"Oct 26, 2020","3,400.97","4,002,210,000"
"Oct 23, 2020","3,465.39","3,651,600,000"
"Oct 22, 2020","3,453.49","4,172,060,000"
"Oct 21, 2020","3,435.56","4,103,960,000"
"Oct 20, 2020","3,443.12","3,917,850,000"
"Oct 19, 2020","3,426.92","4,091,080,000"
"Oct 16, 2020","3,483.81","4,688,030,000"
"Oct 15, 2020","3,483.34","3,724,550,000"
"Oct 14, 2020","3,488.67","3,858,510,000"
"Oct 13, 2020","3,511.93","3,611,100,000"
"Oct 12, 2020","3,534.22","3,435,760,000"
"Oct 09, 2020","3,477.14","3,944,090,000"
"Oct 08, 2020","3,446.83","3,867,640,000"
"Oct 07, 2020","3,419.44","3,814,750,000"
"Oct 06, 2020","3,360.97","4,453,390,000"
"Oct 05, 2020","3,408.60","3,692,720,000"
"Oct 02, 2020","3,348.42","3,975,180,000"
"Oct 01, 2020","3,380.80","4,076,340,000"
"Sep 30, 2020","3,363.00","4,738,640,000"
"Sep 29, 2020","3,335.47","3,661,590,000"
"Sep 28, 2020","3,351.60","3,950,910,000"
"Sep 25, 2020","3,298.46","3,803,330,000"
"Sep 24, 2020","3,246.59","4,601,920,000"
"Sep 23, 2020","3,236.92","4,378,650,000"
"Sep 22, 2020","3,315.57","3,974,510,000"
"Sep 21, 2020","3,281.06","4,836,070,000"
"Sep 18, 2020","3,319.47","7,076,400,000"
"Sep 17, 2020","3,357.01","4,379,840,000"
"Sep 16, 2020","3,385.49","4,718,900,000"
"Sep 15, 2020","3,401.20","4,057,190,000"
"Sep 14, 2020","3,383.54","3,839,580,000"
"Sep 11, 2020","3,340.97","3,710,090,000"
"Sep 10, 2020","3,339.19","4,208,630,000"
"Sep 09, 2020","3,398.96","3,932,520,000"
"Sep 08, 2020","3,331.84","4,694,330,000"
"Sep 04, 2020","3,426.96","4,438,720,000"
"Sep 03, 2020","3,455.06","4,911,830,000"
"Sep 02, 2020","3,580.84","4,295,640,000"
"Sep 01, 2020","3,526.65","4,101,490,000"
"Aug 31, 2020","3,500.31","4,348,280,000"
"Aug 28, 2020","3,508.01","3,868,510,000"
"Aug 27, 2020","3,484.55","3,955,890,000"
"Aug 26, 2020","3,478.73","3,780,530,000"
"Aug 25, 2020","3,443.62","3,627,650,000"
"Aug 24, 2020","3,431.28","3,743,410,000"
"Aug 21, 2020","3,397.16","3,505,010,000"
"Aug 20, 2020","3,385.51","3,431,040,000"
"Aug 19, 2020","3,374.85","3,679,480,000"
"Aug 18, 2020","3,389.78","3,669,550,000"
"Aug 17, 2020","3,381.99","3,460,330,000"
