Date,SnP_Close,SnP_Volume,VIX,formatted_date
15-10-2021,4471.37,3819380000,16.3,20211015
18-10-2021,4486.46,3662010000,16.31,20211018
19-10-2021,4519.63,3459130000,15.7,20211019
20-10-2021,4536.19,3670760000,15.49,20211020
21-10-2021,4549.78,3822330000,15.01,20211021
22-10-2021,4544.9,3758220000,15.43,20211022
25-10-2021,4566.48,3899400000,15.24,20211025
26-10-2021,4574.79,3879740000,15.98,20211026
27-10-2021,4551.68,4226050000,16.98,20211027
28-10-2021,4596.42,4132950000,16.53,20211028
29-10-2021,4605.38,4510200000,16.26,20211029
11-01-2021,4613.67,3971540000,16.41,20211101
11-02-2021,4630.65,3975250000,16.03,20211102
11-03-2021,4660.57,4319660000,15.1,20211103
11-04-2021,4680.06,4462300000,15.44,20211104
11-05-2021,4697.53,4467180000,16.48,20211105
11-08-2021,4701.7,4269710000,17.22,20211108
11-09-2021,4685.25,4117080000,17.78,20211109
11-10-2021,4646.71,4503720000,18.73,20211110
11-11-2021,4649.27,3926870000,17.66,20211111
11-12-2021,4682.85,3728600000,16.29,20211112
15-11-2021,4682.8,3488410000,16.49,20211115
16-11-2021,4700.9,3972640000,16.37,20211116
17-11-2021,4688.67,3969070000,17.11,20211117
18-11-2021,4704.54,4226410000,17.59,20211118
19-11-2021,4697.96,4253180000,17.91,20211119
22-11-2021,4682.94,4441100000,19.17,20211122
23-11-2021,4690.7,4277590000,19.38,20211123
24-11-2021,4701.46,3418430000,18.58,20211124
26-11-2021,4594.62,3517700000,28.62,20211126
29-11-2021,4655.27,4336410000,22.96,20211129
30-11-2021,4567,6625990000,27.19,20211130
12-01-2021,4513.04,5366730000,31.12,20211201
12-02-2021,4577.1,5077180000,27.95,20211202
12-03-2021,4538.43,5240070000,30.67,20211203
12-06-2021,4591.67,4770800000,27.18,20211206
12-07-2021,4686.75,4492400000,21.89,20211207
12-08-2021,4701.21,4234600000,19.9,20211208
12-09-2021,4667.45,3903840000,21.58,20211209
12-10-2021,4712.02,3870110000,18.69,20211210
13-12-2021,4668.97,4397230000,20.31,20211213
14-12-2021,4634.09,4485430000,21.89,20211214
15-12-2021,4709.85,4910130000,19.29,20211215
16-12-2021,4668.67,4829500000,20.57,20211216
17-12-2021,4620.64,7987090000,21.57,20211217
20-12-2021,4568.02,4635700000,22.87,20211220
21-12-2021,4649.23,4072430000,21.01,20211221
22-12-2021,4696.56,3319610000,18.63,20211222
23-12-2021,4725.79,2913040000,17.96,20211223
27-12-2021,4791.19,2770290000,17.68,20211227
28-12-2021,4786.35,2707920000,17.54,20211228
29-12-2021,4793.06,2963310000,16.95,20211229
30-12-2021,4778.73,3124950000,17.33,20211230
